q,quadruple,lambda,orbit_six_set,orbit_label,j_invariant,body_size,completion,ex,nodes
11,2 3 4 9,8,"3,4,5,7,8,9",generic,2,41,75,4,152570
11,2 3 4 10,10,"2,6,10",harmonic,1,41,75,4,146630
11,2 3 4 inf,2,"2,6,10",harmonic,1,41,75,4,147312
11,2 3 5 6,8,"3,4,5,7,8,9",generic,2,41,75,4,161249
11,2 3 5 7,10,"2,6,10",harmonic,1,41,75,4,151404
11,2 3 5 8,4,"3,4,5,7,8,9",generic,2,41,75,4,145354
11,2 3 5 9,6,"2,6,10",harmonic,1,41,75,4,147279
11,2 3 5 10,2,"2,6,10",harmonic,1,41,75,4,152669
11,2 3 5 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,142076
11,2 3 6 7,4,"3,4,5,7,8,9",generic,2,41,75,4,150007
11,2 3 6 8,6,"2,6,10",harmonic,1,41,75,4,149864
11,2 3 6 9,9,"3,4,5,7,8,9",generic,2,41,75,4,149732
11,2 3 6 10,3,"3,4,5,7,8,9",generic,2,41,75,4,132627
11,2 3 6 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,151338
11,2 3 7 8,7,"3,4,5,7,8,9",generic,2,41,75,4,154187
11,2 3 7 9,5,"3,4,5,7,8,9",generic,2,41,75,4,153923
11,2 3 7 10,9,"3,4,5,7,8,9",generic,2,41,75,4,149061
11,2 3 7 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,150744
11,2 3 8 9,7,"3,4,5,7,8,9",generic,2,41,75,4,142714
11,2 3 8 10,6,"2,6,10",harmonic,1,41,75,4,160743
11,2 3 8 inf,10,"2,6,10",harmonic,1,41,75,4,151184
11,2 3 9 10,4,"3,4,5,7,8,9",generic,2,41,75,4,155485
11,2 3 9 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,149820
11,2 3 10 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,136950
11,2 4 5 6,7,"3,4,5,7,8,9",generic,2,41,75,4,153109
11,2 4 5 7,4,"3,4,5,7,8,9",generic,2,41,75,4,150689
11,2 4 5 8,2,"2,6,10",harmonic,1,41,75,4,151470
11,2 4 5 9,10,"2,6,10",harmonic,1,41,75,4,150755
11,2 4 5 10,5,"3,4,5,7,8,9",generic,2,41,75,4,158081
11,2 4 5 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,149688
11,2 4 6 7,10,"2,6,10",harmonic,1,41,75,4,152867
11,2 4 6 8,5,"3,4,5,7,8,9",generic,2,41,75,4,137698
11,2 4 6 9,3,"3,4,5,7,8,9",generic,2,41,75,4,142670
11,2 4 6 10,7,"3,4,5,7,8,9",generic,2,41,75,4,156035
11,2 4 6 inf,2,"2,6,10",harmonic,1,41,75,4,152394
11,2 4 7 8,6,"2,6,10",harmonic,1,41,75,4,151723
11,2 4 7 9,8,"3,4,5,7,8,9",generic,2,41,75,4,142274
11,2 4 7 10,4,"3,4,5,7,8,9",generic,2,41,75,4,154286
11,2 4 7 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,153406
11,2 4 8 9,5,"3,4,5,7,8,9",generic,2,41,75,4,147961
11,2 4 8 10,8,"3,4,5,7,8,9",generic,2,41,75,4,153692
11,2 4 8 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,153483
11,2 4 9 10,6,"2,6,10",harmonic,1,41,75,4,159489
11,2 4 9 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,133265
11,2 4 10 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,144243
11,2 5 6 7,6,"2,6,10",harmonic,1,41,75,4,149182
11,2 5 6 8,2,"2,6,10",harmonic,1,41,75,4,155562
11,2 5 6 9,7,"3,4,5,7,8,9",generic,2,41,75,4,159610
11,2 5 6 10,8,"3,4,5,7,8,9",generic,2,41,75,4,154858
11,2 5 6 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,153714
11,2 5 7 8,4,"3,4,5,7,8,9",generic,2,41,75,4,134068
11,2 5 7 9,3,"3,4,5,7,8,9",generic,2,41,75,4,135861
11,2 5 7 10,5,"3,4,5,7,8,9",generic,2,41,75,4,152086
11,2 5 7 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,137753
11,2 5 8 9,9,"3,4,5,7,8,9",generic,2,41,75,4,153428
11,2 5 8 10,4,"3,4,5,7,8,9",generic,2,41,75,4,129492
11,2 5 8 inf,2,"2,6,10",harmonic,1,41,75,4,152867
11,2 5 9 10,9,"3,4,5,7,8,9",generic,2,41,75,4,139172
11,2 5 9 inf,10,"2,6,10",harmonic,1,41,75,4,154099
11,2 5 10 inf,6,"2,6,10",harmonic,1,41,75,4,156849
11,2 6 7 8,9,"3,4,5,7,8,9",generic,2,41,75,4,135630
11,2 6 7 9,10,"2,6,10",harmonic,1,41,75,4,155903
11,2 6 7 10,8,"3,4,5,7,8,9",generic,2,41,75,4,140921
11,2 6 7 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,143594
11,2 6 8 9,6,"2,6,10",harmonic,1,41,75,4,150997
11,2 6 8 10,7,"3,4,5,7,8,9",generic,2,41,75,4,153670
11,2 6 8 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,137489
11,2 6 9 10,3,"3,4,5,7,8,9",generic,2,41,75,4,157102
11,2 6 9 inf,6,"2,6,10",harmonic,1,41,75,4,150524
11,2 6 10 inf,2,"2,6,10",harmonic,1,41,75,4,155881
11,2 7 8 9,8,"3,4,5,7,8,9",generic,2,41,75,4,149490
11,2 7 8 10,5,"3,4,5,7,8,9",generic,2,41,75,4,150667
11,2 7 8 inf,6,"2,6,10",harmonic,1,41,75,4,147950
11,2 7 9 10,2,"2,6,10",harmonic,1,41,75,4,151778
11,2 7 9 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,154858
11,2 7 10 inf,10,"2,6,10",harmonic,1,41,75,4,161568
11,2 8 9 10,10,"2,6,10",harmonic,1,41,75,4,148456
11,2 8 9 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,155243
11,2 8 10 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,145475
11,2 9 10 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,157454
11,3 4 5 6,5,"3,4,5,7,8,9",generic,2,41,75,4,151470
11,3 4 5 7,7,"3,4,5,7,8,9",generic,2,41,75,4,152163
11,3 4 5 8,6,"2,6,10",harmonic,1,41,75,4,150656
11,3 4 5 9,9,"3,4,5,7,8,9",generic,2,41,75,4,145739
11,3 4 5 10,8,"3,4,5,7,8,9",generic,2,41,75,4,150865
11,3 4 5 inf,2,"2,6,10",harmonic,1,41,75,4,146927
11,3 4 6 7,8,"3,4,5,7,8,9",generic,2,41,75,4,154891
11,3 4 6 8,10,"2,6,10",harmonic,1,41,75,4,152977
11,3 4 6 9,4,"3,4,5,7,8,9",generic,2,41,75,4,144782
11,3 4 6 10,6,"2,6,10",harmonic,1,41,75,4,152207
11,3 4 6 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,153703
11,3 4 7 8,4,"3,4,5,7,8,9",generic,2,41,75,4,137599
11,3 4 7 9,6,"2,6,10",harmonic,1,41,75,4,158642
11,3 4 7 10,9,"3,4,5,7,8,9",generic,2,41,75,4,141933
11,3 4 7 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,157421
11,3 4 8 9,7,"3,4,5,7,8,9",generic,2,41,75,4,157223
11,3 4 8 10,5,"3,4,5,7,8,9",generic,2,41,75,4,152185
11,3 4 8 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,149897
11,3 4 9 10,7,"3,4,5,7,8,9",generic,2,41,75,4,152075
11,3 4 9 inf,10,"2,6,10",harmonic,1,41,75,4,152603
11,3 4 10 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,137973
11,3 5 6 7,7,"3,4,5,7,8,9",generic,2,41,75,4,140866
11,3 5 6 8,4,"3,4,5,7,8,9",generic,2,41,75,4,139546
11,3 5 6 9,2,"2,6,10",harmonic,1,41,75,4,153549
11,3 5 6 10,10,"2,6,10",harmonic,1,41,75,4,147741
11,3 5 6 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,133111
11,3 5 7 8,10,"2,6,10",harmonic,1,41,75,4,147257
11,3 5 7 9,5,"3,4,5,7,8,9",generic,2,41,75,4,143880
11,3 5 7 10,3,"3,4,5,7,8,9",generic,2,41,75,4,151668
11,3 5 7 inf,2,"2,6,10",harmonic,1,41,75,4,152460
11,3 5 8 9,6,"2,6,10",harmonic,1,41,75,4,153109
11,3 5 8 10,8,"3,4,5,7,8,9",generic,2,41,75,4,148181
11,3 5 8 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,149248
11,3 5 9 10,5,"3,4,5,7,8,9",generic,2,41,75,4,149996
11,3 5 9 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,138083
11,3 5 10 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,155276
11,3 6 7 8,6,"2,6,10",harmonic,1,41,75,4,144342
11,3 6 7 9,2,"2,6,10",harmonic,1,41,75,4,152614
11,3 6 7 10,7,"3,4,5,7,8,9",generic,2,41,75,4,138556
11,3 6 7 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,160292
11,3 6 8 9,4,"3,4,5,7,8,9",generic,2,41,75,4,139942
11,3 6 8 10,3,"3,4,5,7,8,9",generic,2,41,75,4,150359
11,3 6 8 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,158565
11,3 6 9 10,9,"3,4,5,7,8,9",generic,2,41,75,4,161183
11,3 6 9 inf,2,"2,6,10",harmonic,1,41,75,4,166793
11,3 6 10 inf,10,"2,6,10",harmonic,1,41,75,4,164153
11,3 7 8 9,9,"3,4,5,7,8,9",generic,2,41,75,4,136774
11,3 7 8 10,10,"2,6,10",harmonic,1,41,75,4,153417
11,3 7 8 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,151712
11,3 7 9 10,6,"2,6,10",harmonic,1,41,75,4,151877
11,3 7 9 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,148236
11,3 7 10 inf,6,"2,6,10",harmonic,1,41,75,4,151646
11,3 8 9 10,8,"3,4,5,7,8,9",generic,2,41,75,4,150953
11,3 8 9 inf,6,"2,6,10",harmonic,1,41,75,4,148489
11,3 8 10 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,150909
11,3 9 10 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,157696
11,4 5 6 7,5,"3,4,5,7,8,9",generic,2,41,75,4,156849
11,4 5 6 8,7,"3,4,5,7,8,9",generic,2,41,75,4,137973
11,4 5 6 9,6,"2,6,10",harmonic,1,41,75,4,154385
11,4 5 6 10,9,"3,4,5,7,8,9",generic,2,41,75,4,137654
11,4 5 6 inf,2,"2,6,10",harmonic,1,41,75,4,152416
11,4 5 7 8,8,"3,4,5,7,8,9",generic,2,41,75,4,152361
11,4 5 7 9,10,"2,6,10",harmonic,1,41,75,4,147004
11,4 5 7 10,4,"3,4,5,7,8,9",generic,2,41,75,4,149974
11,4 5 7 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,144045
11,4 5 8 9,4,"3,4,5,7,8,9",generic,2,41,75,4,149908
11,4 5 8 10,6,"2,6,10",harmonic,1,41,75,4,152537
11,4 5 8 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,150304
11,4 5 9 10,7,"3,4,5,7,8,9",generic,2,41,75,4,136081
11,4 5 9 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,139073
11,4 5 10 inf,10,"2,6,10",harmonic,1,41,75,4,156585
11,4 6 7 8,7,"3,4,5,7,8,9",generic,2,41,75,4,156783
11,4 6 7 9,4,"3,4,5,7,8,9",generic,2,41,75,4,155771
11,4 6 7 10,2,"2,6,10",harmonic,1,41,75,4,150612
11,4 6 7 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,135938
11,4 6 8 9,10,"2,6,10",harmonic,1,41,75,4,166617
11,4 6 8 10,5,"3,4,5,7,8,9",generic,2,41,75,4,149083
11,4 6 8 inf,2,"2,6,10",harmonic,1,41,75,4,148566
11,4 6 9 10,6,"2,6,10",harmonic,1,41,75,4,150227
11,4 6 9 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,141504
11,4 6 10 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,137148
11,4 7 8 9,6,"2,6,10",harmonic,1,41,75,4,158884
11,4 7 8 10,2,"2,6,10",harmonic,1,41,75,4,146817
11,4 7 8 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,150744
11,4 7 9 10,4,"3,4,5,7,8,9",generic,2,41,75,4,138204
11,4 7 9 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,153098
11,4 7 10 inf,2,"2,6,10",harmonic,1,41,75,4,147862
11,4 8 9 10,9,"3,4,5,7,8,9",generic,2,41,75,4,159984
11,4 8 9 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,161425
11,4 8 10 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,155749
11,4 9 10 inf,6,"2,6,10",harmonic,1,41,75,4,147312
11,5 6 7 8,5,"3,4,5,7,8,9",generic,2,41,75,4,148764
11,5 6 7 9,7,"3,4,5,7,8,9",generic,2,41,75,4,147796
11,5 6 7 10,6,"2,6,10",harmonic,1,41,75,4,149787
11,5 6 7 inf,2,"2,6,10",harmonic,1,41,75,4,147950
11,5 6 8 9,8,"3,4,5,7,8,9",generic,2,41,75,4,152317
11,5 6 8 10,10,"2,6,10",harmonic,1,41,75,4,151470
11,5 6 8 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,154946
11,5 6 9 10,4,"3,4,5,7,8,9",generic,2,41,75,4,151668
11,5 6 9 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,152471
11,5 6 10 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,152339
11,5 7 8 9,7,"3,4,5,7,8,9",generic,2,41,75,4,148841
11,5 7 8 10,4,"3,4,5,7,8,9",generic,2,41,75,4,162613
11,5 7 8 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,162591
11,5 7 9 10,10,"2,6,10",harmonic,1,41,75,4,147411
11,5 7 9 inf,2,"2,6,10",harmonic,1,41,75,4,154143
11,5 7 10 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,155716
11,5 8 9 10,6,"2,6,10",harmonic,1,41,75,4,150084
11,5 8 9 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,153791
11,5 8 10 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,163119
11,5 9 10 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,155155
11,6 7 8 9,5,"3,4,5,7,8,9",generic,2,41,75,4,148599
11,6 7 8 10,7,"3,4,5,7,8,9",generic,2,41,75,4,153802
11,6 7 8 inf,2,"2,6,10",harmonic,1,41,75,4,154308
11,6 7 9 10,8,"3,4,5,7,8,9",generic,2,41,75,4,151899
11,6 7 9 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,137621
11,6 7 10 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,136829
11,6 8 9 10,7,"3,4,5,7,8,9",generic,2,41,75,4,145948
11,6 8 9 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,135091
11,6 8 10 inf,2,"2,6,10",harmonic,1,41,75,4,147213
11,6 9 10 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,151085
11,7 8 9 10,5,"3,4,5,7,8,9",generic,2,41,75,4,137995
11,7 8 9 inf,2,"2,6,10",harmonic,1,41,75,4,148137
11,7 8 10 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,142362
11,7 9 10 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,152559
11,8 9 10 inf,2,"2,6,10",harmonic,1,41,75,4,152218
